"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test case test API to config new cleaning agent report on newly generated report","2372","Configure the new cleaning agent report","tests.unit.audit_portal","Tue Dec 17 18:05:44 IST 2024","passed","Tue Dec 17 18:05:47 IST 2024","TestAuditPortal","test_audit_portal","",""
"This test case tests API to create an inspection on equipment and validate the Microbial residue verification Microbial samples for surface area sqcm and volume as l","31201","Create Inspection on Equipment & Validate the Microbial Residue Verification Endotoxin Samplesfor surface area sqcm and volume as l","tests.scenarios.multi_production_protocol.inspection","Tue Dec 17 16:15:40 IST 2024","passed","Tue Dec 17 16:16:12 IST 2024","TestInspectionMultiProductionProtocolSqcml","test_multi_production_protocol_inspection_sqcm_l","",""
"This test case tests API to Create Protocol for multi-production protocol and create the study from approve protocol when select custom policy for residue","30522","Create the study from approved protocol","tests.scenarios.multi_production_protocol.study","Tue Dec 17 17:54:39 IST 2024","passed","Tue Dec 17 17:55:10 IST 2024","TestStudyMultiProductionProtocol","test_study_multi_production_protocol","",""
"This method is used to archive the cleaning agent from master data","71","Archive the cleaning agent from master data","tests.unit.master_data","Tue Dec 17 18:05:56 IST 2024","passed","Tue Dec 17 18:05:56 IST 2024","TestCleaningAgentMasterData","test_cleaning_agent_master_data","",""
"This test case test API to validate the master data snapshot report for cleaning agent with excel file data","238","Validate master data snapshot report for cleaning agent","tests.scenarios.audit_portal","Tue Dec 17 15:31:55 IST 2024","passed","Tue Dec 17 15:31:56 IST 2024","TestAuditPortalLimits","test_audit_portal_formulation_facility","",""
"This test case test API to validate the master data snapshot report for cleaning procedure eq mapping with excel file data","267","Validate master data snapshot report for cleaning procedure eq mapping","tests.scenarios.audit_portal","Tue Dec 17 15:31:57 IST 2024","passed","Tue Dec 17 15:31:58 IST 2024","TestAuditPortalLimits","test_audit_portal_formulation_facility","",""
"This test case test Api to validate the material selected is appear on next page or not","410","Validate material on next page","tests.scenarios.offline_study","Tue Dec 17 18:05:16 IST 2024","passed","Tue Dec 17 18:05:17 IST 2024","TestOfflineStudies","test_offline_studys","",""
"This test case updates details of One Default unit in a Facility","74","Update One Default Unit","tests.unit.settings","Tue Dec 17 18:06:14 IST 2024","passed","Tue Dec 17 18:06:14 IST 2024","TestDefaultUnits","test_default_unit","",""
"This test case tests API to Create Protocol for endotoxin residue verification and validate the final summary details when surface unit is SQCM and volume unit is L","29823","Validate the endotoxin residue verification final summary page when unit is SQCM and L","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:18:54 IST 2024","passed","Tue Dec 17 17:19:23 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This test case tests API to Create Protocol for active residue verification and validate the final summary details","19354","Validate the active residue verification final summary page","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:16:08 IST 2024","passed","Tue Dec 17 17:16:28 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This test case test API to Validate the audit logs details for unarchive product from master data","439","Validate the audit logs details for unarchive product from master data","tests.scenarios.audit_logs","Tue Dec 17 18:06:41 IST 2024","passed","Tue Dec 17 18:06:42 IST 2024","TestAuditLogsScenarios","test_audit_logs_scenarios","",""
"This test case tests API to create protocol with active residue verification when select custom for both direct and indirect","3318","Create protocol active residue verification for direct indirect custom","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 16:44:16 IST 2024","passed","Tue Dec 17 16:44:19 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This test case tests API to Validate the sample limits of Bioburden Endotoxin residue verification for when room grade value is zero for rinse samples non split","15519","Validate the sample limits of Bioburden Endotoxin residue verification for when room grade value is zero for rinse samples non split","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:44:00 IST 2024","passed","Tue Dec 17 17:44:16 IST 2024","TestMicrobialMultiProductionProtocol","test_multi_production_protocol_microbial_policy_absent","",""
"This test case tests API to Create Protocol for endotoxin residue verification and validate the final summary details when surface unit is SQM and volume unit is ML","30667","Validate the endotoxin residue verification final summary page when unit is SQM and ML","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:17:56 IST 2024","passed","Tue Dec 17 17:18:27 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This test test Api to validate the newly generated equipments limits report on audit portal with excel data ","2141","Validate the equipments limits report","tests.scenarios.audit_portal","Tue Dec 17 15:31:49 IST 2024","passed","Tue Dec 17 15:31:51 IST 2024","TestAuditPortalLimits","test_audit_portal_formulation_facility","",""
"This test case tests Production wise SAL when Toxicity Criteria in Policy is selected for all production mapped to Equipment","5007","Test ProductWise Toxicity SAL of Productions on Equipments","tests.scenarios","Tue Dec 17 15:37:55 IST 2024","passed","Tue Dec 17 15:38:00 IST 2024","TestLimitsOnEquipments","test_limit_equipments","",""
"This method is used to delete the auto selection policy","88","Delete the auto selection policy","tests.unit.settings.sampling_location_assessment","Tue Dec 17 18:06:15 IST 2024","passed","Tue Dec 17 18:06:15 IST 2024","TestSamplingLocationAssessment","test_sampling_location_assessment","",""
"This test case tests API to select all verification & move to next page in multi-production protocol","1244","Select all verification & move to next page in multi-production protocol","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 16:43:50 IST 2024","passed","Tue Dec 17 16:43:51 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This test case test the swab & rinse sample limit of equipment map with production forIntermediate and swab & rinse sample unit is in ug/ml","0","Test the swab & rinse limit of equipment map to production for Intermediate","tests.scenarios","Tue Dec 17 15:34:02 IST 2024","skipped","Tue Dec 17 15:34:02 IST 2024","TestChemicalSampleLimitProduction","test_chemical_sample_limit_production","",""
"This test case tests API to create an inspection on equipment and update the Endotoxinresidue verification details and save the inspection","617","Create Inspection on Equipment & update the Endotoxin Residue Verification details","tests.scenarios.multi_production_protocol.inspection","Tue Dec 17 16:11:13 IST 2024","passed","Tue Dec 17 16:11:13 IST 2024","TestInspectionMultiProductionProtocol","test_multi_production_protocol_inspection","",""
"This test case test API to Validate the audit logs details for Unarchive master data active","471","Validate the audit logs details for Unarchive master data active","tests.scenarios.audit_logs","Tue Dec 17 18:06:40 IST 2024","passed","Tue Dec 17 18:06:40 IST 2024","TestAuditLogsScenarios","test_audit_logs_scenarios","",""
"This test case test API to validate the audit logs details for when submit the protocol","30098","Validate the audit logs details for when submit the the protocol","tests.scenarios.audit_logs","Tue Dec 17 18:06:59 IST 2024","passed","Tue Dec 17 18:07:29 IST 2024","TestAuditLogsScenarios","test_audit_logs_scenarios","",""
"This test case tests API to Validate the absent on Protocol Microbial Endotoxin residue verification when select zero in microbial policy for room grade swab & rinse samples for non split","15879","Validate the absent on Protocol Microbial Endotoxin residue verification when select zero in microbial policy for room grade swab & rinse samples for non split","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:50:51 IST 2024","passed","Tue Dec 17 17:51:07 IST 2024","TestMicrobialMultiProductionProtocol","test_multi_production_protocol_microbial_policy_absent","",""
"This test case tests API to import master data in facility for disable nitrosamine policy","11420","Import Master Data for disable nitrosamine policy","tests.scenarios.disable_nitrosamine","Tue Dec 17 15:30:18 IST 2024","passed","Tue Dec 17 15:30:29 IST 2024","TestDisableNitrosamine","test_disable_nitrosamine_policy","",""
"This test case test Api to update the target residue details of offline study like add more rows or update residue type or target residue","1080","Update target residue details of offline study","tests.scenarios.offline_study","Tue Dec 17 18:05:22 IST 2024","passed","Tue Dec 17 18:05:23 IST 2024","TestOfflineStudies","test_offline_studys","",""
"This method is used to Unarchive the Nitrosamine from master data","54","Unarchive the Nitrosamine from master data","tests.unit.master_data","Tue Dec 17 18:05:57 IST 2024","passed","Tue Dec 17 18:05:57 IST 2024","TestNitrosamineMasterData","test_nitrosamine_master_data","",""
"This test case tests API to Create Protocol and validate active residue verification SAL when surface area unit is sqcm and SAL mass unit is mg","5295","Create Protocol and validate active residue verification SAL when surface area unit is sqcm","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 16:44:19 IST 2024","passed","Tue Dec 17 16:44:25 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This test case tests API to Validate the absent on Protocol Microbial Endotoxin residue verification when select zero in microbial policy for room grade rinse samples for non split","15512","Validate the absent on Protocol Microbial Endotoxin residue verification when select zero in microbial policy for room grade rinse samples for non split","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:49:57 IST 2024","passed","Tue Dec 17 17:50:13 IST 2024","TestMicrobialMultiProductionProtocol","test_multi_production_protocol_microbial_policy_absent","",""
"This test case test Api to get audit portal all details","26","Get Audit Portal Details","tests.unit.audit_portal","Tue Dec 17 18:05:26 IST 2024","passed","Tue Dec 17 18:05:26 IST 2024","TestAuditPortal","test_audit_portal","",""
"This testcase test Api to test that when residue type select is Nitrosaminethen its unit should be mg/sqcm","674","Residue Type Nitrosamine select have unit mg/sqcm","tests.scenarios.offline_study","Tue Dec 17 18:05:21 IST 2024","passed","Tue Dec 17 18:05:21 IST 2024","TestOfflineStudies","test_offline_studys","",""
"This test case tests API to Add new Sampling location Assessment attribute","29","Add new Sampling location Assessment attribute","tests.unit.settings.sampling_location_assessment","Tue Dec 17 18:06:15 IST 2024","passed","Tue Dec 17 18:06:15 IST 2024","TestSamplingLocationAssessment","test_sampling_location_assessment","",""
"This test case tests API to Validate the samples when select custom for both direct and indirect cleaning agent residue verification","9949","Validate the samples when select custom for both direct and indirect cleaning agent residue verification","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:02:52 IST 2024","passed","Tue Dec 17 17:03:02 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This test case API to add new user to CLEEN with quality specialist role","77","Add new User with quality specialist role","tests.unit.user_management","Tue Dec 17 18:06:15 IST 2024","passed","Tue Dec 17 18:06:16 IST 2024","TestUserManagement","test_user_management","",""
"This Test case test API to get all Production details","250","Get All Production details","tests.unit.production","Tue Dec 17 18:06:11 IST 2024","passed","Tue Dec 17 18:06:11 IST 2024","TestProduction","test_production","",""
"This test case API to get archive users details","56","Get Archive user details","tests.unit.user_management","Tue Dec 17 18:06:26 IST 2024","passed","Tue Dec 17 18:06:26 IST 2024","TestUserManagement","test_user_management","",""
"This test case tests API to Validate the absent on Protocol bioburden Endotoxin residue verification when select zero in microbial policy for swab samples non split","12837","Validate the absent on Protocol bioburden Endotoxin residue verification when select zero in microbial policy for swab samples non split","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:33:20 IST 2024","passed","Tue Dec 17 17:33:32 IST 2024","TestMicrobialMultiProductionProtocol","test_multi_production_protocol_microbial_policy_absent","",""
"This test case test API to validate the master data snapshot report for equipments with excel file data","309","Validate master data snapshot report for Equipments","tests.scenarios.audit_portal","Tue Dec 17 15:31:54 IST 2024","passed","Tue Dec 17 15:31:54 IST 2024","TestAuditPortalLimits","test_audit_portal_formulation_facility","",""
"This test case Updates Cleaning Limit Policy for Nitrosamine","71","Update Cleaning Limit Policy for Nitrosamine","tests.unit.settings.cleaning_limit_policies","Tue Dec 17 18:06:15 IST 2024","passed","Tue Dec 17 18:06:15 IST 2024","TestNitrosamineCleaningLimitPolicy","test_nitrosamine_limit_policy","",""
"This test case test the swab & rinse sample limit of equipment map with production forformulation when all (toxicity, dosage, default) criteria is selected & for active facility when all (toxicity, dosage, default, LD50) and swab & rinse sample unit is in ppm","5134","Test the swab & rinse limit of equipment map to production","tests.scenarios","Tue Dec 17 15:32:00 IST 2024","passed","Tue Dec 17 15:32:05 IST 2024","TestChemicalSampleLimitProduction","test_chemical_sample_limit_production","",""
"This test case API to get all details of Departments available on CLEEN","9","Get Department Details","tests.unit.user_management","Tue Dec 17 18:06:15 IST 2024","passed","Tue Dec 17 18:06:15 IST 2024","TestUserManagement","test_user_management","",""
"This test case tests API to Create Protocol microbial residue verification for non split when select custom of both direct and indirect and validate the limits","17318","Create Protocol for microbial residue verification for non split","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 16:55:46 IST 2024","passed","Tue Dec 17 16:56:03 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This test case test API to validate the master data snapshot report for Sampling location risk assessment with excel file data","0","Validate master data snapshot report for Sampling location risk assessment","tests.scenarios.audit_portal","Tue Dec 17 15:31:46 IST 2024","skipped","Tue Dec 17 15:31:46 IST 2024","TestApiAuditPortalLimits","test_audit_portal_api_facility","",""
"This method is used to change the batch size of production","49","Change the batch size of production","tests.unit.quick_actions","Tue Dec 17 18:06:13 IST 2024","passed","Tue Dec 17 18:06:13 IST 2024","TestAddNewProduction","test_add_new_production","",""
"This test case test the swab & rinse sample limit of equipment map with production for formulation when all (toxicity, dosage, default) criteria is selected & for active facility when all (toxicity, dosage, default, LD50) and swab & rinse sample unit is in ug","9710","Test the swab & rinse limit of equipment map to production","tests.scenarios","Tue Dec 17 15:34:36 IST 2024","passed","Tue Dec 17 15:34:46 IST 2024","TestChemicalSampleLimitProduction","test_chemical_sample_limit_production","",""
"This test case test API to validate the master data snapshot report for products with excel file data","394","Validate master data snapshot report for Products","tests.scenarios.audit_portal","Tue Dec 17 15:31:54 IST 2024","passed","Tue Dec 17 15:31:55 IST 2024","TestAuditPortalLimits","test_audit_portal_formulation_facility","",""
"This method is use to archive the equipment","114","Archive the Equipment","tests.unit.quick_actions","Tue Dec 17 18:06:13 IST 2024","passed","Tue Dec 17 18:06:13 IST 2024","TestAddNewEquipment","test_quick_action_add_equipment","",""
"This test case test Api to export audit logs details","296","Export audit logs details","tests.unit.audit_logs","Tue Dec 17 18:05:26 IST 2024","passed","Tue Dec 17 18:05:26 IST 2024","TestAuditLogs","test_audit_logs","",""
"This test case tests API to Validate the sampling profile when select custom for toc residue verification","7324","Validate the sampling profile when select custom for toc residue verification","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:05:18 IST 2024","passed","Tue Dec 17 17:05:26 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This test case tests API to Create Protocol based on policy for endotoxin residue verification when volume is L","9234","Create Protocol and select based on policy for Endotoxin residue verification","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 16:48:25 IST 2024","passed","Tue Dec 17 16:48:34 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This test case test the swab & rinse sample limit of equipment map with production forformulation when all (toxicity, dosage, default) criteria is selected & for active facility when all (toxicity, dosage, default, LD50) and swab & rinse sample unit is in mg","9799","Test the swab & rinse limit of equipment map to production","tests.scenarios","Tue Dec 17 15:34:26 IST 2024","passed","Tue Dec 17 15:34:36 IST 2024","TestChemicalSampleLimitProduction","test_chemical_sample_limit_production","",""
"This test case tests API to Validate the absent on Protocol Microbial Endotoxin residue verification when select zero in microbial policy for rinse samples for non split","13658","Validate the absent on Protocol Microbial Endotoxin residue verification when select zero in microbial policy for rinse samples for non split","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:34:55 IST 2024","passed","Tue Dec 17 17:35:09 IST 2024","TestMicrobialMultiProductionProtocol","test_multi_production_protocol_microbial_policy_absent","",""
"This test case test API to validate the master data snapshot report for actives with excelfile data","0","Validate master data snapshot report for Actives","tests.scenarios.audit_portal","Tue Dec 17 15:31:46 IST 2024","skipped","Tue Dec 17 15:31:46 IST 2024","TestApiAuditPortalLimits","test_audit_portal_api_facility","",""
"This test case tests API to Create Protocol for bioburden split residue verification and validate the final summary details when select based on policy for direct and indirect","78976","Validate the bioburden split residue verification final summary page","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:21:45 IST 2024","passed","Tue Dec 17 17:23:04 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This method is used to get details of archive actives from master data","45","Get details of archive actives from master data","tests.unit.master_data","Tue Dec 17 18:05:55 IST 2024","passed","Tue Dec 17 18:05:55 IST 2024","TestActiveMasterData","test_active_master_data","",""
"This test case gets details of all MOC details present in facility","20","Get MOC details","tests.unit.production","Tue Dec 17 18:06:11 IST 2024","passed","Tue Dec 17 18:06:11 IST 2024","TestSamplingLocation","test_sample_location","",""
"This test case test API to get equipment details when select equipments limits in audit portal","48","Get equipment Data","tests.unit.audit_portal","Tue Dec 17 18:05:32 IST 2024","passed","Tue Dec 17 18:05:32 IST 2024","TestAuditPortal","test_audit_portal","",""
"This method is used to get details of archive analytical method from master data","31","Get details of archive analytical method from master data","tests.unit.master_data","Tue Dec 17 18:05:56 IST 2024","passed","Tue Dec 17 18:05:56 IST 2024","TestAnalyticalMethodMasterData","test_analytical_method_master_data","",""
"This test case test the cleaning agent from list of equipment sal when all criteria is selected (toxicity,default ARL) criteria is selected and sal unit is mg & default surface area is sqm","6965","Test Cleaning agent SAL","tests.scenarios","Tue Dec 17 15:36:13 IST 2024","passed","Tue Dec 17 15:36:20 IST 2024","TestCleaningAgentLimit","test_cleaning_agent_limit","",""
"This test case tests API to Create Protocol and validate intermediate residue verification SALwhen surface area unit is sqm and SAL mass unit is ug","0","Create Protocol and validate intermediate residue verification SAL when surface area unit is sqm","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:33:10 IST 2024","skipped","Tue Dec 17 17:33:10 IST 2024","TestMultiProductionProtocolIntermediate","test_multi_production_protocol_intermediate","",""
"This test case tests API to create an inspection on equipment and validate the active residue verification chemical samples for surface area sqin and volume as l","67647","Create Inspection on Equipment & Validate the Active Residue Verification Chemical Samplesfor surface area sqin and volume as l","tests.scenarios.multi_production_protocol.inspection","Tue Dec 17 16:17:40 IST 2024","passed","Tue Dec 17 16:18:47 IST 2024","TestInspectionMultiProductionProtocolSqinl","test_multi_production_protocol_inspection_sqin_l","",""
"This test case test API to generate cleaning agent limit report using cleaning agent and equipment","2578","Generate cleaning agent limit report","tests.unit.audit_portal","Tue Dec 17 18:05:42 IST 2024","passed","Tue Dec 17 18:05:44 IST 2024","TestAuditPortal","test_audit_portal","",""
"This test case tests API to Validate the sample limits of Bioburden Endotoxin residue verification for when microbial policy room grade value is zero for swab & rinse samples non split","16104","Validate the sample limits of Bioburden Endotoxin residue verification for when microbial policy room grade value is zero for swab & rinse samples non split","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:44:16 IST 2024","passed","Tue Dec 17 17:44:32 IST 2024","TestMicrobialMultiProductionProtocol","test_multi_production_protocol_microbial_policy_absent","",""
"This test case tests API to create an inspection on equipment and validate the active residue verification chemical samples for surface area sqm and volume as l","69327","Create Inspection on Equipment & Validate the Active Residue Verification Chemical Samplesfor surface area sqm and volume as l","tests.scenarios.multi_production_protocol.inspection","Tue Dec 17 16:28:14 IST 2024","passed","Tue Dec 17 16:29:23 IST 2024","TestInspectionMultiProductionProtocolSqml","test_multi_production_protocol_inspection_sqm_l","",""
"This test case test API to add new sampling location on equipment","119","Add new sampling location","tests.unit.production","Tue Dec 17 18:06:11 IST 2024","passed","Tue Dec 17 18:06:12 IST 2024","TestSamplingLocation","test_sample_location","",""
"This test case tests API to add new protocol for multi-production","1459","Add New Protocol for Multi-production","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 16:43:38 IST 2024","passed","Tue Dec 17 16:43:39 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This test case tests API to Create Protocol based on policy for bioburden residue verification for non split","16477","Create Protocol and select based on policy for bioburden residue verification for non split","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 16:50:00 IST 2024","passed","Tue Dec 17 16:50:16 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This test case tests API to Create Protocol for microbial residue verification and validate the sample limits when select based on policy for direct and indirect for split policy","77410","Validate the sample limits of microbial residue verification for direct indirect bop for split policy","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:13:01 IST 2024","passed","Tue Dec 17 17:14:18 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This test case tests API to create an inspection on equipment and validate the cleaning agent residue verification cleaning agent samples for custom SAL","82505","Create Inspection on Equipment & Validate the cleaning agent Residue Verification cleaning agent Samples for custom SAL","tests.scenarios.multi_production_protocol.inspection","Tue Dec 17 15:55:44 IST 2024","passed","Tue Dec 17 15:57:07 IST 2024","TestInspectionMultiProductionProtocolCustom","test_multi_production_protocol_inspcetion_custom","",""
"This test case tests API to Validate the absent on sample limit and summary page of Protocolbioburden Endotoxin residue verification when select zero in microbial policy for room grade rinse samples for split ","19845","Validate the absent on sample limit and summary page of Protocol bioburden Endotoxin residue verification when select zero in microbial policy for room grade rinse samples for split ","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:45:12 IST 2024","passed","Tue Dec 17 17:45:32 IST 2024","TestMicrobialMultiProductionProtocol","test_multi_production_protocol_microbial_policy_absent","",""
"This test case tests API to create an inspection on equipment and validate the nitrosamine residue verification chemical samples for surface area sqm and volume as ml","565","Create Inspection on Equipment & Validate the Nitrosamine Residue Verification Chemical Samplesfor surface area sqm and volume as ml","tests.scenarios.multi_production_protocol.inspection","Tue Dec 17 16:36:02 IST 2024","passed","Tue Dec 17 16:36:03 IST 2024","TestInspectionMultiProductionProtocolSqmMl","test_multi_production_protocol_inspection_sqm_ml","",""
"This method is used to get details of archive cleaning agent from master data","21","Get details of archive cleaning agent from master data","tests.unit.master_data","Tue Dec 17 18:05:56 IST 2024","passed","Tue Dec 17 18:05:56 IST 2024","TestCleaningAgentMasterData","test_cleaning_agent_master_data","",""
"This testcase test Api to test that when residue type select is Microbial and target residueis Endotoxin then its unit should be eu/ml","660","Residue Type Microbial select have unit EU/ml","tests.scenarios.offline_study","Tue Dec 17 18:05:19 IST 2024","passed","Tue Dec 17 18:05:20 IST 2024","TestOfflineStudies","test_offline_studys","",""
"This test case tests API to create an inspection on equipment and validate the cleaning agent residue verification cleaning agent samples for surface area sqm and volume as l","82517","Create Inspection on Equipment & Validate the cleaning agent Residue Verification cleaning agent Samples for surface area sqm and volume as l","tests.scenarios.multi_production_protocol.inspection","Tue Dec 17 16:29:23 IST 2024","passed","Tue Dec 17 16:30:46 IST 2024","TestInspectionMultiProductionProtocolSqml","test_multi_production_protocol_inspection_sqm_l","",""
"This test case tests Equipment wise SAL when Default Criteria in Policy is selected for each Equipment mapped to Production","5944","Test Equipment wise SAL for Default Criteria","tests.scenarios","Tue Dec 17 15:39:49 IST 2024","passed","Tue Dec 17 15:39:55 IST 2024","TestLimitOnProduction","test_limit_productions","",""
"This test case tests SAL when Dosage Criteria in Policy is selected for each Equipment mapped to Production in API Facility","0","Test SAL of Production for Dosage Criteria in API Facility","tests.scenarios","Tue Dec 17 15:40:28 IST 2024","skipped","Tue Dec 17 15:40:28 IST 2024","TestLimitOnProduction","test_limit_productions","",""
"This test case test API to validate the audit logs details for when added submit the protocol","2253","Validate the audit logs details for when added new the protocol","tests.scenarios.audit_logs","Tue Dec 17 18:06:57 IST 2024","passed","Tue Dec 17 18:06:59 IST 2024","TestAuditLogsScenarios","test_audit_logs_scenarios","",""
"This test case tests API to Create Protocol and validate intermediate residue verification SALwhen surface area unit is sqm and SAL mass unit is mg","0","Create Protocol and validate intermediate residue verification SAL when surface area unit is sqm","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:33:10 IST 2024","skipped","Tue Dec 17 17:33:10 IST 2024","TestMultiProductionProtocolIntermediate","test_multi_production_protocol_intermediate","",""
"This test case test the swab & rinse sample limit of equipment map with production forIntermediate and swab & rinse sample unit is in ug","0","Test the swab & rinse limit of equipment map to production for Intermediate","tests.scenarios","Tue Dec 17 15:34:02 IST 2024","skipped","Tue Dec 17 15:34:02 IST 2024","TestChemicalSampleLimitProduction","test_chemical_sample_limit_production","",""
"This method is used to get details of equipment group equipments","64","Get details of equipment group equipments","tests.unit.quick_actions","Tue Dec 17 18:06:13 IST 2024","passed","Tue Dec 17 18:06:14 IST 2024","TestAddNewEquipment","test_quick_action_add_equipment","",""
"This test case test API to validate study inspection for bioburden residue verification details when new parameters are added using configure run form fields","56408","Validate study inspection for bioburden residue verification details when new parameters are added","tests.scenarios.configure_run_form_fields","Tue Dec 17 15:47:38 IST 2024","passed","Tue Dec 17 15:48:34 IST 2024","TestConfigureRunFormFieldsScenarios","test_configure_run_form_field","",""
"This test case tests API to create an inspection on equipment and validate the Endotoxin residue verification Endotoxin samples for surface area sqin and volume as l","17445","Create Inspection on Equipment & Validate the Endotoxin Residue Verification Endotoxin Samplesfor surface area sqin and volume as l","tests.scenarios.multi_production_protocol.inspection","Tue Dec 17 16:20:12 IST 2024","passed","Tue Dec 17 16:20:30 IST 2024","TestInspectionMultiProductionProtocolSqinl","test_multi_production_protocol_inspection_sqin_l","",""
"This test case tests API to Validate the absent on sample limit and summary page of Protocol microbial Endotoxin residue verification when select zero in microbial policy for room grade swab samples for split","17711","Validate the absent on sample limit and summary page of Protocol microbial Endotoxin residue verification when select zero in microbial policy for room grade swab samples for split","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:51:58 IST 2024","passed","Tue Dec 17 17:52:16 IST 2024","TestMicrobialMultiProductionProtocol","test_multi_production_protocol_microbial_policy_absent","",""
"This test case test Api to Config the new master data snapshot report in audit portal by configuring change assessment report on newly generated report","198","Config new master data snapshot report","tests.unit.audit_portal","Tue Dec 17 18:05:47 IST 2024","passed","Tue Dec 17 18:05:47 IST 2024","TestAuditPortal","test_audit_portal","",""
"This test case tests API to Create Protocol and validate active residue verification SAL when surface area unit is sqcm and SAL mass unit is ug","17853","Create Protocol and validate active residue verification SAL when surface area unit is sqcm","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 16:44:47 IST 2024","passed","Tue Dec 17 16:45:05 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This method is used to edit/update the equipment mapped to a production","626","Edit/Update production equipment mapping","tests.unit.production","Tue Dec 17 18:06:09 IST 2024","failed","Tue Dec 17 18:06:10 IST 2024","TestProduction","test_production","",""
"This test case tests API to get details of worst production selection criteria","25","Get Worst Product Selection Criteria Details","tests.unit.settings","Tue Dec 17 18:06:14 IST 2024","passed","Tue Dec 17 18:06:14 IST 2024","TestSelectionCriteria","test_selection_criteria","",""
"This test case tests API to verify that after nitrosamine policy is disabled, there should be no nitrosamine in study inspection","62953","Verify study inspection when nitrosamine policy is Disabled","tests.scenarios.disable_nitrosamine","Tue Dec 17 15:30:32 IST 2024","passed","Tue Dec 17 15:31:35 IST 2024","TestDisableNitrosamine","test_disable_nitrosamine_policy","",""
"This test case test API to validate the audit logs details for when update the endotoxinresidue verification detail of inspection","0","Validate the audit logs details for when update the endotoxin residue verification detail of inspection","tests.scenarios.audit_logs","Tue Dec 17 15:01:41 IST 2024","broken","Tue Dec 17 15:01:41 IST 2024","","test_audit_logs_scenarios","",""
"This test case tests API to Create Protocol for bioburden residue verification and validate the final summary details","25510","Validate the bioburden residue verification final summary page","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:20:49 IST 2024","failed","Tue Dec 17 17:21:15 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This test case tests API to Create Protocol for cleaning agent residue verification and validate the final summary details","20402","Validate the cleaning agent residue verification final summary page","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:16:44 IST 2024","passed","Tue Dec 17 17:17:05 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This test case tests API to Create Protocol based on policy for TOC residue verification","2517","Create Protocol and select based on policy for TOC residue verification","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 16:49:35 IST 2024","passed","Tue Dec 17 16:49:37 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
